,star,emp type,review title,designation,pros,cons
120,3,"Current Employee, more than 1 year",Join if you don't want Onsite and wants good salary,9 Jun 2017 - Senior Software Engineer in Pune,"1. They offer best salary at the time of joining. 2. New technology stack. 3. Work life balance(Depending on project) 4. Appraisals are average. Some cases you get more than expectation. 5. No politics 6. Gifts on diwali and other functions like Family Day, Outing, Sport events. 7. Training's.",1. Zero onsite. 2. No big accounts. 3. They install software(sapian) on machine to keep watch on you. 4. Micro management(Depending on project) 5. No work life balance in some projects. 6. There are lot of criteria to get 100% rating but still they don't check that while giving appraisals. 7. For Senior employees job security is issue. without any notice they will throw you outside.
121,4,Current Employee,Xpanxion - A People Place,9 Apr 2017 - Senior Software Engineer in Pune,#NAME?,"I take interviews in the organization. Most of the times, the interview request is adhoc. A meeting request should be sent for the same at least one day in advance."
122,4,Current Employee,Overall a good place to work at,3 Jun 2016 - Anonymous Employee ,Focus on providing an environment that gives a good work life balance.,Although once in a while but I do not like the fact that at times org activities take precedence over delivery
123,4,Former Employee,Xpanxion Pune review,31 Mar 2017 -  Anonymous Employee,1. Good projects which require good technical skills. 2. Good Management. 3. Good Increments. 4. Overall working environment.,Sometimes they expect too much from the resources. You don't have any reason to fail to perform. They generally don't allow work from home.
124,5,"Current Employee, less than 1 year",Best Work Place,5 Jan 2018 - Associate in Pune,You can walk out to anyone and talk about your query and help will be within no time given to you . friendly work environment. events happening so that you can showcase your talent . super work life balance. you are open to learn anything which you desire.,sometimes processes are too slow.
125,2,"Current Employee, more than 5 years",Environment differs project to pproject,21 Jun 2017 - Manual Tester ,1) Initial 3 QA projects were extremely good. 2) My last project was led by a female QA manager . Worst experience of my entire career at Xpanxion. So many rules were enforced for that team - Too much micro management and tracking Late fee for coming after 10.30 (even if we sit late after 8 pm it is not considered) Unwanted personal life questions and taunts She trying to gain sympathy of her personal problems.,Other projects were really good. Good scope for QA
126,4,"Current Employee, less than 1 year",Nice company to begin your career,18 Jun 2015 - Anonymous in Pune,"Very friendly atmosphere, good employee friendly policies, project allocation status checked frequently. Skill development & engagement given priority. Peers are good to work within the work place.",Not so far as of I know.
127,4,Current Employee,Good for technical growth,6 May 2018 -  Anonymous Employee,You get to work like full stack developer on all layers ( may vary bit per project ),"Not as such, like anywhere else talk about your work to get appraised fairly if lead or pm fails to notice it."
128,5,Current Employee,Very good company employee oriented good culture good learning,7 Apr 2017 - Maharashtra in Pune,Snacks available in pantry for free always good location employees are given gifts on birthdays and joining anniversary,No cons as. Such to say
129,5,"Current Employee, more than 1 year",Good Working Environment,31 May 2018 - Senior Software Development Engineer in Pune,Flexible work timing Open door policy Get chance to learn new things Management is very good Managers are very helpful and not biased,No cons I can see till now..
130,1,"Former Employee, less than 1 year",FRAUD COMPANY,22 Nov 2017 - Anonymous Employee ,They will promise to give you joining will offer a descent salary will behave with you well but will not give joining.,"I wish I could have given a 0 star. The worst company they postponed our joining twice they gave us offer letter twice made us sign that and also made us do assignments and then terminated us before the joining date which was given for the third time . They waisted our whole one year made us wait for the whole 2017 and then terminated us, such a fraud."
131,5,"Current Employee, more than 3 years",Great people oriented workplace,9 Apr 2017 - Associate QA Lead in Pune,1. Culture of Integrity and Innovation 2. Approachable higher management 3. Interesting employee engagement activities 4. Greater growth opportunities since organization is on a fast track growth mode,Transportation is currently not available
132,5,"Former Employee, more than 1 year",Excellent company to work with,19 Oct 2016 - Tech Lead in Pune,"Good culture, nice people. good work. Challenging stuff",Need a good coffee machine.
133,5,"Current Employee, less than 1 year",People oriented company and management,17 Jul 2017 - Anonymous Employee in Pune,#NAME?,#NAME?
134,5,Current Employee,Good company to work with,27 Jul 2017 - Anonymous Employee ,Very nice company to work with. Environment and work culture is also good. Management is quite supportive. And approachable.,"Difficult to mention, don't find any"
135,4,Current Employee,Good Company to wok in,17 Apr 2017 -  Anonymous Employee,Good company to work in. Good Pay. Freedom to express your knowledge.,Nothing as such. You need to work for 9 hrs
136,4,"Current Employee, more than 1 year",Great place to work with good people,16 Feb 2018 - Software Test Automation Engineer in Pune,Lot of opportunities to learn new skills and almost all senior are best mentor,Not any cons found till the date
137,4,"Current Employee, less than 1 year",A good professional company,21 Mar 2018 - Anonymous Employee in Pune,Very good company to work with and learn new technologies,Cant think of any at this point of time
138,5,"Current Employee, more than 1 year",Come and join us!,11 Nov 2016 - Technical Lead in Pune,Friendly culture with core values. all departments are supportive and prompt.,We can work on professional certifications
139,5,"Current Employee, less than 1 year",Good company,13 Sep 2017 - Team Leader in Pune,Good work environment and vibrant culture,No onsite No transport Less compensation as per industry standard
140,4,"Current Employee, less than 1 year",A good organization to probably start your career,14 Jul 2015 - QA Lead in Pune,Learning opportunities Down to earth senior management Employee Friendly Environment,Regional politics Some managers are partial towards specific set of people
141,4,Former Employee,Good company for Contract based too,8 Jul 2016 - Software Engineer in Pune,"Good place for work, good work culture, professional culture, training",No challenging work at some project
142,5,Current Employee,Good company anyone can join,12 Jul 2017 - Anonymous Employee ,Really good company to work with and explore new things,Parking issue is there for everyone
143,4,Former Employee,Good company to work for,11 Sep 2017 - Anonymous Employee ,Good work culture. No politics. Appraisals are good and performance based,No medical insurance from company. Premium gets deducted from salary
144,2,Former Employee,Only for managers....,25 Jun 2016 - Software Developer in Pune,Xpanxion carried a culture which was it's strength. Surely it has lost it...,Only for managers... Managers favors upcoming managers who can work for them and do their work.... Micromanagement is growing day by day... No one is looking at working staff satisfaction...
145,5,Current Employee,best company ever,3 Sep 2015 -  Anonymous Employee,sure join this company if you have the offer,"not that important, can be compromised"
146,3,"Current Employee, more than 3 years",Senior Software Engineer,21 Jun 2018 - Senior Software Engineer in Pune,1. Good pay master for lateral hires. 2. Good learning opportunities.They have started Dev essentials and QA essentials programs to improve technical skills of their employees.,"1. Being a small scale company they don't have so many projects. 2. On multiple projects, you have to be on you toes at every moment. 3. Not great internal hikes. 4. Layoff can happen at any moment."
147,4,Former Employee,NIce Company to work for,24 Mar 2014 -  Anonymous Employee,Good culture.....People are very helpful Learning Opportunitites,No cons as management is really supportive
148,5,"Former Employee, more than 1 year",Best Company,19 Mar 2018 - Senior Software Engineer in Pune,"Flexible timings, Good salary, working environment is best. Awesome colleagues, helpful team leads",don't think any cons such as
149,4,Former Employee,"""Supportive Environment""",3 Mar 2018 - Anonymous Employee ,Good working environment Working on various different technologies Salary on time Flexible timings Fun activities,All good. I have not seen any cons.
150,1,"Former Employee, more than 3 years",This company is becoming joke now,2 Sep 2015 - Tech Lead in Pune,"good development practices, and if lucky then good project but those for .net only, no java/data base/ETL/DW/BI , big data ,they dont exist for them, Management is very laid back and conservative. In last year only QA projects are coming to company , not much of dev","They will watching you min by min, they have a tool which they say is good for employees productivity, but work less managers will be watching your computer usage, application usage and activity level, they have all the data what you are doing ans so."
151,4,"Current Employee, more than 1 year",Good Company,30 Jun 2015 - Senior Software Engineer in Pune,"Cool Environment, Better Process followed,good work environment.",HR Team is bit weak
152,4,Current Employee,Good work environment,27 Apr 2017 - QA Engineer ,Good work environment. The new office location is good too,I couldnt find any cons yet
153,5,"Former Employee, more than 1 year",Great Company,5 Feb 2018 - Software Engineer in Pune,"Work Life Balance, Great Environment, Helpful Management, Nice People.",No such any in my openion
154,4,Former Employee,Good company to work with,2 Apr 2018 - Senior Software Engineer ,Good work environment and good projects.,Nothing to comment as such.
155,5,Current Employee,Good brand to work with,3 Aug 2018 - Anonymous Employee ,Good brand to work with,no cons as such
156,2,"Current Employee, more than 1 year",Hopeless managers,6 Jan 2016 - Anonymous Employee in Pune,Pays little more. As they have good funding from UST Global,"Managers thinks that they have hired a robot who can do anything they want him to do. No quality work. Startup like culture and environment. Though you have done with all your tasks, you have to be in the office for 9 hours daily. 45 Hours a week. Or salary will be deducted as per less hours. Manager calls you anytime."
157,4,Current Employee,Company review,3 Aug 2018 - Anonymous Employee ,you can maintain work life balance here,lack of new technologies here
158,3,"Current Employee, more than 3 years",Good company but needs some improvement,8 Nov 2012 - Software QA Analyst in Pune,Good work culture. Good management team. Good process. And following all processes. CMM level 4 company and deserve for this.,growth in terms of carrier and money is not good for QA. Salary increment is not consistent even if you work hard on project.
159,1,"Former Employee, less than 1 year",Worst organisation,20 Mar 2018 - Anonymous Employee in Pune,No PROS as of now.,#NAME?
160,3,"Current Employee, more than 5 years",Good company to work with,9 Aug 2016 - Module Lead in Pune,1. You will get exposure on latest technologies. 2. Good work-life balance,1. Don't join for onsite opportunity. There are very few onsite positions. 2. Infrastructure is not that good like other big companies. 3. You won't be promoted to next level as easy as possible.
161,3,Current Employee,"Xpanxion , Pune review",14 Dec 2015 - Senior QA in Pune,Good pay for lateral joiners. Central Location in pune. Lot of learning opportunity if your not deployed to client location. Snacks facility is good.,"Some old folks are are not having technical knowledge, Still they have higher technical responsibilities."
162,1,"Former Employee, more than 1 year",Worst company,10 Jul 2018 - Anonymous Employee ,No pros as such to say.,"1.Managers are biased. 2.No value of employees. 3.Worst leaders who don't support you. 4.demotivating management. 5.no transparency with the employees. 6.No cultural diversity(dominantly marathi speaking people driven organization) 7.No empathy with employees. 8.No job security. 9.Policies should be same for all the employees. 10.No empathy with employee's condition,sickness and personal life only priority is personal work. 11.Ruthless client and HR supports them. 12.Revenge taking manangers at client side. 13.employee is made to work at client location as contracters where they are treated as dogs."
163,3,"Former Employee, more than 3 years",Good work culture,23 Feb 2016 - Senior Software Engineer in Aundh,"Work life balance varies from project to project, Very good work culture, works in latest technologies, good pay","Infrastructure is not that great when compared with MNCs, work and work culture at client locations is not that good, WFH is very difficult"
164,2,"Former Employee, less than 1 year",Not good for UI Developers,1 Jun 2015 - UI Developer in Pune,#NAME?,Please do not join if you are an UI developer as there are no opportunities to grow. Project will be assigned to you for sake of billing but no work.
165,3,"Current Employee, more than 1 year",Management,20 Apr 2016 - Anonymous Employee in Pune,Please do not apply their. Not at all,"Very bad management, they will make you to ""Go to hell"""
166,2,"Former Employee, more than 1 year",Bad Company,8 Jul 2018 - Associate Software Consultant in Pune,Diwali gift No dress coat No work,Bad work managers Bad work environment No place to growth No career opportunity
167,1,"Former Employee, less than 1 year",FRAUD COMPANY,21 Nov 2017 - Developer ,no pros. beware!! they might lure you with good package but they wont provide joining later,"hired us via campus interviews, even gave us joining but cancelled offer letter after making us wait for a year."
168,1,Current Employee,Place full of Politics,9 Jul 2015 -  Anonymous Employee,Not much. The good people to work with have already left.,Some managers are so insecure that they do not have the guts to accept a new idea or a confident person. They should really introspect
169,3,"Current Employee, more than 3 years",Ok,1 Apr 2014 - Software Developer in Pune,"Work culture is friendly, People are good (depends on your manager as everywhere)",Limited projects are available Stagnancy if you don't keep up to date yourdself
170,1,Former Employee,Join it to become successful politician,16 Dec 2012 - Anonymous Employee in Pune,The technology they worked on and Salary is god. That's all,Really bad working environment full of bad politics. There US counterpart treat employees have no respect for Indian employees. No job stability at all
171,3,Current Employee,Program Manager,16 Nov 2015 - Program Manager in Pune,Good processes but not matured yet,Middle Management and few Senior Management people are not open to ideas
172,3,Former Employee,Manager,24 Mar 2014 - Anonymous Employee ,Good work life balance Technology projects,Does projects only in Chicago. Expanding beyond Chicago could definitely add more to the growth!
173,3,Current Employee,Good place to start your career.,2 Mar 2018 - Anonymous Employee ,Healthy work place environment and optimal work life balance.,Not anything I can think of.
174,3,Current Employee,Good startup,4 Mar 2016 - Anonymous Employee ,"work culture is good, If performance is good, then get good perks","Processes, higher mgt - little politics"
175,1,"Former Employee, less than 1 year",Worst Company,22 Nov 2017 - Software Engineer ,No pros.They may offer you good package but they wont provide joining later.,"It was an on campus job.They gave us offer,postponed it two times,making us wait for a year and after a year they cancelled the offer."
176,1,"Former Employee, more than 1 year",Not at all good for work,10 Jul 2018 - Senior Software Engineer ,Nothing as such to mention.,Manager oriented No employee value No hike No work life balance No vacations Most of the weekend they will ask you to come to office No hike Biased for local people.
177,5,"Current Employee, more than 1 year",great company,"12 May 2021 - Junior Java Developer in Alpharetta, GA","great benefits, company culture, reliable management that cares",no cons as of yet
178,5,Current Employee,A fantastic environment for growth,"13 Mar 2021 - Graphic Designer in Ames, IA","Xpanxion is a great place to learn, grow and expand your career.",I don't have any cons to share.
179,4,Current Employee,Great job,10 Feb 2021 - Project Manager ,Good people and opportunity for growth,Odd culture. Still trying to establish
180,4,"Current Employee, more than 1 year",Good starter,3 Feb 2021 - Software Developer ,The People. Co-workers are great.,Pay amount isnt the best
181,5,"Current Employee, more than 3 years",Good pto,"28 Jan 2021 - Software Development Engineer In Test in Lincoln, NE",Has good PTO system. Also has 401k matching.,Sometimes unsure of direction of company
182,3,"Current Employee, more than 5 years",We don't care about retention...,"20 Feb 2021 - QA Analyst in Kearney, NE",Working in a small town,Lack of other possibilities when working in a small town.
183,5,"Former Employee, less than 1 year","Flexibility, team atmosphere. This company had it all!!","18 Feb 2020 - Technical Recruiter in Manhattan, KS",The team I was under had great charisma and always had a clear line of communication of what was needed and when. They spent the time to ramp you up to learn the business. The recruiting team was by far the best team I have ever been on and you couldn't ask more out of the manager who ran the team. Completly phenomenal.,None that I can think of
184,4,Current Employee,Great place to work.,3 Mar 2020 - Software Development Test Engineer ,Plenty of experience and different projects to work on.,The environment tends to have a siloed feel if you don't reach out to others.
185,3,Current Employee,Good workplace,"16 Jun 2020 - Quality Assurance Analyst in Kearney, NE","Fun environment, nice employees, and different types of work",Pay is not the greatest
186,2,"Former Employee, more than 3 years",Good resume builder but bad long term outlook,"8 Sep 2019 - Senior Software Engineer in Fort Collins, CO",Xpanxion works with big-name clients who need you to solve real problems. The atmosphere is very relaxed and the PTO is above average. The equipment provided is decent and new.,"The Fort Collins office in particular is neglected by the company. They have had trouble keeping any non-billable employees on payroll there to ensure basic day-to-day needs are met. HR in particular is a pain point because they are located in other offices and do not see the Fort Collins office as a priority. Xpanxion corporate and sales seem to understand very little of what their engineers actually do for their clients and as such push a lot of unnecessary or irrelevant certifications or trainings just so they can squeeze a few more dollars out of the client, which of course is not reflected in your own pay."
187,3,Former Employee,Former small company becoming corporate,3 Jan 2020 -  Anonymous Employee,"Laid back work environment, no micromanaging, good benefits",Company direction going the wrong way. Local management has no say in anything.
188,4,"Current Employee, more than 3 years",Great Work Life Balance,30 Sep 2019 - Senior Software Engineer ,"Great Work/Life Balance, Great office culture",Need to continue pushing for larger contracts
189,5,"Current Employee, more than 1 year","Great Company, Great Community","9 Nov 2018 - Software Developer in Kearney, NE","Fantastic and relaxed culture. We're all a bunch of nerds and we have a very relaxed dress code. It is great working for a company where I can dress in a way that I am comfortable and that expresses who I am as a person. For the most part, the community and culture are very supportive and there's a lot of opportunities to make friends of your coworkers. We get a lot of PTO and it's very flexible in general. This PTO can be used for either vacation or sick days, which I love because it helps meet the needs of different kinds of people. This company is very willing to work with your individual needs and direct management at least makes it clear that they respect you as a professional and an individual. We are getting 401k matching soon, which was one of the last things I was really missing from this company.","It's true that Xpanxion compensation is not as high as some other companies in the software dev and testing business, even in Nebraska. For some people the extra relaxed environment and lots of PTO is worth a smaller salary, but if a high salary is your greater concern, Xpanxion might not meet that need as well as some other places. There have been some concerns lately that Xpanxion's culture could be changing under influence from the parent company UST. However, there is a lot of evidence that Xpanxion is pushing back against this and trying to solidify the Xpanxion culture and standards. They have also been willing to admit when they made mistakes and try to correct it. There has been some communication trouble lately, but this is one thing that upper management has admitted to being a problem and there are steps being made to rectify this. I hope to see those steps come through and am already seeing better communication lately."
190,4,"Current Employee, more than 5 years",Awesome,4 Feb 2019 - Senior Quality Engineer in Pun,work life balance Work from home Good salary No work in weekends,No Cabs facility Bad food quality at Cafeteria
191,4,Current Employee,Excellent place to work,14 Jan 2019 - Anonymous Employee ,"Great culture, Great team, Lots of opportunities",Limited customer base for the company
192,3,Former Employee,"Experience varies by project, overall Meh","8 Sep 2016 - Software Engineer in Fort Collins, CO",1. The employees and fellow devs were nice 2. The project I was on was decent for a good stretch of time. 3. 22 days of vacation (with a caveat) 4. Pretty fun environment... if you were part of a clique 5. Experience varies based on your personality.,"1. Management is pretty clueless. One director was barely 5 years out of college. 2. No matching 401k, benefits are abysmal. 3. If your project sucks, well that's too bad. There's not much you can do about it. 4. Management refuses to get good equipment for devs. 5. Too much focus on culture...ugh nobody CARES. 6. Bait and switch tactics -- many people leave because of this 7. Absolutely don't care about retaining engineering talent 8. You can only take 5 days off at a time. Completely ridiculous. Getting approved for more requires AVP approval. Give me a break."
193,5,Former Employee,Great Company,20 Sep 2018 - Anonymous Employee ,Lots of room to grow.,None that I can think of.
194,4,"Current Employee, more than 1 year",Great place to work,7 Jan 2016 - Anonymous Employee ,"Great experience with big name clients Competitive pay, rewards performance Relaxed dress code and atmosphere with game rooms, vending machines, ping pong, etc Regular social functions, pot-lucks, sporting events, office olympics, gift exchanges Payday breakfast Excellent insurance options Organized HR portal Personable, visionary, direct, inspiring CEO Rapid growth (4 offices added in Ames, Ft. Collins, Manhattan, and Lincoln in the past 5 years) New facilities being planned and built Excellent publicity and community perception","Some minor cultural pains as the company finds new identity to match growth Leadership is not directly involved with many newer (or long-time) employees Floating from project to project is difficult, making it hard to get a new position without a closed contract"
195,4,"Former Employee, more than 1 year",Good small scale company,27 Jul 2017 - Anonymous Employee ,1) Offers good pay for laterals. 2) Yearly hike is decent - on an average 10-15% 3) Helpful / supportive teammates if you get stuck in your work. 4) Located at Aundh - one of the best locations in the city. 5) Supportive management. 6) Work wise - They have few good projects in QA automation. 7) Annual bash is very good.,"1) Working at client location can be tough. 2) Micro management in few projects. 3) In few projects, things are driven by UST Global management. It does not work in favor of Xpanxion employees. 4) Not many projects into mobility. 5) Though the new office near Pune station is good, it is not a very convenient location for people from other parts of the city."
196,4,"Current Employee, more than 5 years",Solid training and growth with good work/life balance,16 Nov 2016 - Anonymous Employee ,"There is a lot of focus on training and achieving certifications. There isn't always a lot of bench time to train but if you're self-motivated there is a solid career training path since Xpanxion meets you halfway. The rural teams in Iowa, Nebraska, Colorado and Kansas are a good way to enter the company as a tester or SDET and get exposed to good technologies like DevOps, Docker etc. It does sort of matter what projects you wind up on but being good and self-motivated is a big asset here. You need to work hard, be smart and do the right thing by the customer (like everywhere) but it's not a sweatshop.",If you get assigned to a weak project you might get stuck there since there is a lot of incentive to keep trained people in place.
197,5,"Current Employee, more than 3 years",Great Place to Work with Some Small Growing Pains,15 Jul 2015 - Anonymous Employee ,"There is a lot of flexibility and freedom in completing your daily work. You are surrounded by a lot of very smart people that you can go to for help or to learn something new from. Fun environment with lots of options for the sometimes needed ""downtime"" (Netflix, Video games, ping pong, darts). Room to grow if you are willing to wait for results and don't except ""instant"" advancements.","Communication between offices and from the headquarters to the offices could use some work; however, this is true for a lot of companies I have worked for."
198,5,"Former Employee, more than 3 years","Startup feel, awesome opportunity, cutting edge tech in rural Nebraska and Iowa","9 Nov 2012 - Manager in Kearney, NE","-CEO is an exceptional salesman with a great vision of leveraging rural IT talent. -Very supportive and positive environment. -As much room as you can imagine to invent, grow your skills, and solve problems as long as you meet the client needs. -Talented ",As in all consulting/services companies you are a slave to the client.
199,2,"Former Employee, more than 3 years",Shady HR,"10 Jan 2018 - Business Analyst in Alpharetta, GA",The only good thing about being an employee of Xpaxion was the vacation hours they offered. With sick hours I had 196 hours. Best and only pro they had.,"The main thing was lack of communication. I was there for a while and I never actually felt I was heard. They have various clients you could be placed with and I was placed with Equifax. Communication was horrible, you had to say something a few times before an action is taken if its taken at all. When I initially got hired, I was told I would get a yearly bonus of about 3-4% of my salary, I never got up to that, I got quartley bonus of 90 - 180 bucks each quarter and during the holidays would get about 200-300 as holiday bonus. I only got a raise once while I was there and they paid lower than the market rate."
200,5,Current Employee,"Great company, very collaborative",28 Sep 2015 - Anonymous Employee ,"This is a great company, with a very cool and unique service offering for clients with Rural offices and Rural resources at a lower cost to clients in metro areas. The company invest in their employees, and also helping grow many junior resources, with offering them training and certification classes. They are a great place for people with IT experience to come work because of the multiple clients, technologies, tools, they get to use in a multitude of industries. Great company culture and experiencing rapid growth. I love my company.","The company did go through an acquisition last year, and some things have started to change from the fun startup feel to more of a corporate feeling."
201,4,"Current Employee, less than 1 year","Great People, Iffy Work",6 May 2016 - Anonymous Employee ,"The people here are amazing. The schedule is flexible, which is really nice. Pay is much better than my last job and great vacation. No matching 401k.","Too much focus on automation and not on development. If you are primarily a developer, make sure you understand what automation is before you start, at the risk of getting bored."
202,5,Current Employee,Xpanxion is a good place to work,"17 Aug 2015 - Software Development Engineer In Test in Ames, IA","Good Culture, Lots of freedom, Having a game room rocks! What you do changes, so there is always an opportunity to learn something new.","Uncertainty surrounding the start of new projects can be hectic. You always have a lot of things that are outside your control during this time. It's a con, but not a bad one."
203,2,"Former Employee, more than 3 years",upward mobility..I don't think so,29 Apr 2014 - Anonymous Employee ,It is one of the few tech companies in rural Nebraska and Kansas,The only way to move to a different area is to teach yourself the required skills. There is no company training to help an employee move to a different role. In order to move up the ladder you must be a person who brags about what you do and how well you do it. If an employee gives 110% but doesn't brag about their accomplishments then that person is overlooked and thought not to have enough skills to move forward. Compensation is horrible for the amount of work and the skill set of the employees.
204,5,Current Employee,Awesome company,14 Aug 2015 -  Anonymous Employee,"Fantastic career path options, all integrated into their review system. Excellent clientele. Tons of excellent and knowledgeable individuals in each office. Very flexible with regards to personal needs.","Rural offices are farther away from metropolitan areas. Living accommodations are difficult to arrange in rural areas, so additional time is necessary to plan relocation."
205,1,Former Employee,Not worth it.,28 Apr 2016 -  Anonymous Employee,"The CEO, Paul really had his heart in the right place when the company was created. In office culture was fun and everyone worked to get what they needed to do done. We were encouraged to get involved.",Upper management really did not care at all about the individual employees or offices. They didn't contact you unless something went wrong and the organization as a whole was terrible. I feel like the staff also drank everyday to make themselves feel better. Often times they would lure employees away from other jobs and then let them go as soon as their project was finished.
206,5,"Current Employee, more than 1 year",Great company,3 Jan 2018 - Anonymous Employee ,"Xpanxion is a great company with a great culture! There is always a drive to improve the employee experience, and it gives us (the employees) the ability to work for bigger companies while staying in smaller communities we love.","no 401k match, i believe this is something trying to be changed though."
207,4,"Former Employee, more than 8 years",Lead QA,"13 Jan 2015 - Lead QA in Kearney, NE","* Great place to start your career * Good people to work with, very friendly * Rural employment * Support for initiative",* Rural attitude in the rural offices - this could be a pro depending
208,4,"Current Employee, more than 3 years",Overall Very Good,8 Aug 2017 - Anonymous Employee ,Great people. Good variety of projects to work on. Multiple locations if you are interested in moving.,A bit too much management turnover in last couple of years.
209,4,Former Employee,Great place to work,4 Sep 2014 - Anonymous Employee ,Great clients to rotate through. Local companies only.,"Bonus is ""false advertising"". There's no way to ever get more than 50% of the advertised bonus because the targets are impossible to achieve."
210,4,"Current Employee, less than 1 year",Good place to work,"3 Oct 2016 - Software Design Engineer In Test in Manhattan, KS",Great work life balance. Large variety of projects to work on. Company as a whole is doing great financially.,"May or may not be a con, but a large part of the workforce is offshore in India, so the company may have a negative stigma attached."
211,2,"Former Employee, less than 1 year",Not a Good Personal Experience,2 Jul 2015 - Software Developer ,"If you are in QA, the training program could be very helpful. There are also video games to play, and a ping pong table.","These are my personal feelings, and may not reflect the experiences of others, or the overall work atmosphere at Xpanxion. However... It seems to me that Xpanxion does not care about anything except billable hours. Some employees are overworked and stressed, others are bored and under-utilized. If the client is happy, management does not care if the employees are not. My concerns were given lip service, and then subsequently dropped. It was my experience that productivity takes a backseat to culture. Management seems perfectly fine with someone who comes in to play ping pong and video games as long as they bill eight hours of work. For some people, this works just fine. Those who would rather work in a peaceful environment are punished, and end up in meetings with HR. Additionally, I feel that management does a poor job of listening to the concerns of their employees, because if the client is happy, then there is no reason for them to address these concerns. They also change their rules, even after agreeing to things with their employees. I know certain rules were changed on me at least three times. The rules are also not consistent between employees. Some employees are allowed to do things that others are not. It seems that the rules are applied on a case by case basis, based on popularity. Xpanxion could be a great place to work, if you fit their mold. But if you do not, you will probably end up very unhappy. My advice to individuals considering a job at Xpanxion is to think about the work environment you like. If you want a lighthearted office culture that values fun over productivity, this might be a good place for you. But if the thought of being hit in the eye with a NERF dart while trying to solve a difficult problem does not sound like a great time, you might want to look elsewhere."
212,2,"Current Employee, less than 1 year",Weak Leadership,13 Feb 2018 - QA Analyst ,"Flexible work balance Recently, better insurance",Low salary No 401k match Leadership is a joke
213,3,Current Employee,Great Growing Company,"9 Jul 2015 - Senior Software Engineer in Kearney, NE","Great opportunity to be a go-getter and make things happen in the company. You get back what you put in. Rural location. Small commute, Relaxed work environment","Relaxed work environment Pay is not as competitive as it is in larger cities, although work is performed for global clientele."
214,1,Current Employee,"Sexual Harassment, Cover Up, Lies, Mistakes",29 Dec 2017 - Anonymous Employee ,Some very good people. Good client/project work in my experience (may vary widely by client/project).,"While working for Xpanxion, I was subject to ongoing workplace sexual harassment. For a time, I routinely had my boss on my project making jokes about sex acts involving my manager and me. When I reported this to my office manager, my office manager cut me off rather than hear out my complaints, and later attempted to cover for the offending party by recommending that they lie and describe the situation to HR as a one-time thing rather than a pattern. The office manager seemed intent on maintaining the workplace environment that was full of all sorts of inappropriate and unprofessional conversations about things like sex and serial murder. Reporting these things to HR did very little. HR has not seemed at all interested in correcting problems in the workplace, but really just exists to protect the company from legal action. Aside from the issues with harassment and the unprofessional work environment, Xpanxion has a lot of shortcomings in other ways. I would urge caution regarding anything listed in a job posting, like the claims about their training programs, competitive salaries, and room for growth. My experience with those things has not fit with what they claim. Sadly, working with Xpanxion also becomes an exercise in double and triple checking everything, and sometimes still having to correct issues after doing that. You can't really trust anything that is told or promised to you by Xpanxion. It's not uncommon to be told one thing only to have it change later, or to have mistakes made like tax withheld for the wrong state. I guess stuff usually gets figured out in the end, but these sorts of mistakes are very common and cause quite a bit of hassle."
215,5,Current Employee,"Excellent company, awesome place to work!",24 Apr 2014 - Anonymous Employee ,Great culture and people. Lots of learning opportunities.,"Nothing bad to say, I've had a great experience."
216,5,"Current Employee, more than 1 year",Overall,25 Jul 2014 - Anonymous Employee ,"Great people, great office culture, training, career path versatility and promotion",There are no cons to employment here that I have experienced.
217,2,"Former Employee, more than 1 year",Horrible experience,18 Feb 2015 - Anonymous Employee ,Rural environment and where I lived was nice. I also met some pretty good people during my time there.,"Stressful projects and I never felt like my manager was completely honest with me. Most of the time all I got from them in terms of a response was ""I was fine"", which apparently wasn't the case since I'm terminated."
218,5,Current Employee,Great company to work with,23 Jul 2015 - QA Lead in Pune,Amazing company culture and the best company to work with by far,None that I could find yet
219,4,"Current Employee, more than 1 year",Anonymous,21 Jun 2017 - Anonymous Employee ,"Good work/life balance, decent salary, location","No 401k Match, lack of communication to employees"
220,2,Former Employee,"Good experience, opened lots of doors for me.","24 Aug 2015 - QA Analyst in Ames, IA","Great company, great people, good learning experience. It was good to work with multiple clients and get a vast experience","Good company to start your career with but not a good place to stay. HR was very rude and unprofessional. Was selling products from her own business products at work and harassing people to buy it. Also, the management is not sensitive to your needs. They really don't care about you."
221,4,"Former Employee, more than 1 year",Great Work Environment,28 Apr 2017 - Software Quality Assurance Analyst ,"Great Work Environment Awesome Coworkers Internal training After hours events, and parties Food days and potlucks",Communication Pay vs others in Industry
222,4,"Current Employee, more than 3 years",Suggestions,"27 Mar 2017 - Anonymous Employee in Ames, IA",Xpanxion has a great culture.,The PTO policy can use some improvement.
223,4,Former Employee,Intern,10 Jan 2017 - Anonymous Employee ,"Excellent work environment, very helpfull with improving skills in the workplace","Project turn around rates, or cancelations."
224,4,Former Employee,Technical Leader,14 Feb 2018 - Anonymous Employee ,Work on latest technologies. Good work life balance. Good salaries,Need to have more Java projects
225,5,Current Employee,Good place to work,22 May 2018 - Anonymous Employee ,"Relaxed culture, friendly people, good environment.",Communication can be improved in some areas.
226,5,"Current Employee, more than 3 years",Exciting work Atmosphere,2 Jun 2017 - Anonymous Employee ,Incredibly smart employees. Great local management!,Several leadership changes to accommodate growth.
